typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","2816","Hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides of strontium or barium","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","13571002.247","true","112191.44","false","22119354.415000003","5935213.54","23324548.617000002","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","440710","Wood, coniferous; sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6mm","6","true","-2","c00","0","-2","0","-1","n/a",,"false","-1","n/a",,"false",,"false","0","false",,"17339.205","17339.205","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","9301","Military weapons; other than revolvers, pistols and arms of heading no. 9307","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","80241","true","0.78","false","62396921.149","29907737.949","63088520.577","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","390120","Ethylene polymers; in primary forms, polyethylene having a specific gravity of 0.94 or more","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","1766459070.575","true","40824146.9","false","2070117753.1520004","545444861.5839999","2202741741.8180013","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","390120","Ethylene polymers; in primary forms, polyethylene having a specific gravity of 0.94 or more","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","1572962992.1249995","true","1007465","false",,"1841329322.7230003","1841329322.7230003","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","2824","Lead oxides; red lead and orange lead","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","3651351.8120000004","true","0","false",,"8558111.714000002","8558111.714000002","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","2822","Cobalt oxides and hydroxides; commercial cobalt oxides","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","2848203.65","true","0","false",,"39393866.473","39393866.473","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","2708","Pitch and pitch coke; obtained from coal tar or from other mineral tars","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","100693186.13399999","true","1962220","false","164946554.704","29843354.807","164946554.704","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","2819","Chromium oxides and hydroxides","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","8831652.182999998","true","20079","false","32356278.487","10240677.639","35105129.133","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","270119","Coal; (other than anthracite and bituminous), whether or not pulverised but not agglomerated","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","33966388147.925003","true","2525460400","false","5941830848.459001","474403598.197","5950830881.254001","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","292111","Amine-function compounds; acyclic monoamines and their derivatives, methylamine, di- or trimethylamine and their salts","6","true","-2","c00","0","-2","0","-1","n/a",,"false","-1","n/a",,"false","7071555.74","false","0","false",,"17158788.816","17158788.816","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","310420","Fertilizers, mineral or chemical; potassic, potassium chloride","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","2343158348.9150004","true","5227492.3","false",,"1314216474.8019996","1314216474.8019996","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","280130","Fluorine; bromine","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","4422961.525","true","0","false",,"25612450.967","25612450.967","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","300230","Vaccines; for veterinary medicine","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","114469.07800000002","true","55264.58","false","13046351.058","10155831.076","13046351.058","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","741110","Copper; tubes and pipes, of refined copper","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","58283883.68799999","true","499064.23","false","577587565.037","187196593.56699997","608393275.2349998","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","300212","Blood, human or animal, antisera, other blood fractions and immunological products; antisera and other blood fractions","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","11306028.050000003","true","118480.76","false","2948465150.3369994","1038382396.344","3028195919.447999","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","2707","Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","5085676183.521002","true","1200015.8","false",,"3146381093.5890007","3146381093.5890007","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","690310","Refractory ceramic goods; containing, by weight, more than 50% of free carbon, excluding those of siliceous fossil meals or similar earths","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","1131367.15","true","38184.6","false","11533801.204999998","4829963.566","12057883.555","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","970110","Paintings, drawings and pastels; executed entirely by hand, other than drawings of heading no. 4906","6","true","-2","c00","0","-2","0","-1","n/a",,"false","-1","n/a",,"false","2486.8379999999997","false","127","false",,"180671.287","180671.287","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","4906","Plans and drawings; for architectural, engineering, industrial, commercial, topographical or similar, being originals drawn by hand; hand-written texts; photo- graphic reproductions; their carbon copies","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","128351.32099999997","true","426.7","false","16822748.889000002","1344964.439","16912629.497000005","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","900640","Cameras, photographic (excluding cinematographic); instant print cameras","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","403971.389","true","30055.75","false",,"31545642.313000005","31545642.313000005","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","890520","Floating or submersible drilling or production platforms","6","true","-2","c00","0","-2","0","-1","n/a",,"false","-1","n/a",,"false","216138606.16","true","0","false",,"806523042.362","806523042.362","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","2811","Inorganic acids and other inorganic oxygen compounds of non-metals; n.e.c. in heading no. 2806 to 2810","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","356343514.9020002","true","6711381.390000001","false","514395854.0650001","155755607.416","545663910.4810002","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","280120","Iodine","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","2180760.326","true","73666.3","false","159142756.69099995","37770019.894","163680161.48499998","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","902131","Artificial parts of the body","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","1270092.7480000001","true","971.29","false",,"1057645913.7699999","1057645913.7699999","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","2705","Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","153323.84800000003","true","0","false","195187.559","14403.877","195187.559","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","901110","Microscopes, compound optical; stereoscopic microscopes","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","342820.096","true","0","false",,"64735070.048","64735070.048","0","false","true",
