typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","2818","Aluminium oxide (including artificial corundum); aluminium hydroxide","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","1950812085.9559999","true","66072456.51","false","720293409.9720002","384476979.253","937413330.027","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","2819","Chromium oxides and hydroxides","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","6585469.7870000005","true","0","false",,"22440905.013","22440905.013","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","2814","Ammonia; anhydrous or in aqueous solution","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","1117886651.679","true","236785.27","false","692308967.5619999","212053991.216","703566906.9979998","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","600541","Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of artificial fibres, bleached or unbleached","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","13230.479","true","0","false",,"160649.084","160649.084","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","2811","Inorganic acids and other inorganic oxygen compounds of non-metals; n.e.c. in heading no. 2806 to 2810","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","310456563.386","true","3474608.81","false","407765221.72499996","140358695.91000003","442251089.99300003","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","350790","Enzymes and prepared enzymes; other than rennet and concentrates thereof","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","36360711.458","true","2101.786","false",,"541354290.48","541354290.48","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","420212","Cases and containers; trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels and similar containers, with outer surface of plastics or of textile materials","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","15181042.463000001","true","10283.164999999999","false","562.654","246700119.035","246700119.035","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","2813","Sulphides of non-metals; commercial phosphorus trisulphide","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","8572710.405000001","true","164","false","10258313.634","3361518.9","11294099.084999997","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","720441","Ferrous waste and scrap; turnings, shavings, chips, milling waste, sawdust, filings, trimmings and stampings, whether or not in bundles","6","true","-2","c00","0","-2","0","-1","n/a",,"false","-1","n/a",,"false","550672400.35","false","32235.74","false",,"215249340.05000004","215249340.05000004","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","390690","Acrylic polymers; (other than polymethyl methacrylate), in primary forms","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","412963678.782","true","8440323.27","false","980659104.9689999","353826321.07","1085690763.0629997","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","9301","Military weapons; other than revolvers, pistols and arms of heading no. 9307","4","false","-2","c00","0","-2","0","-1","n/a",,"false","-1","n/a",,"false","608646.649","true","0.388","false","5321.441","151448772.523","151448772.523","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","961310","Lighters; pocket, cigarette, gas fuelled, non-refillable","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","4338858.364999999","true","93129.255","false","32731819.696000006","14719083.253999999","35808296.87200001","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","390230","Propylene, other olefin polymers; propylene copolymers in primary forms","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","664185246.813","true","25510.2","false",,"1013914858.7120001","1013914858.7120001","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","2817","Zinc; oxide and peroxide","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","51113680.134","true","319513.601","false",,"103439054.17099999","103439054.17099999","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","2707","Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","2160706098.5459995","true","1401271.24","false","1550735682.6850004","225261580.172","1560573923.5620005","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","330210","Odoriferous substances and mixtures; of a kind used in the food or drink industries","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","64572721.49","true","37807.079","false",,"1688308989.529","1688308989.529","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","290124","Acyclic hydrocarbons; unsaturated, buta-1,3-diene and isoprene","6","true","-2","c00","0","-2","0","-1","n/a",,"false","-1","n/a",,"false","162845051.1","false","4000000","false",,"139272754.72800002","139272754.72800002","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","820719","Tools, interchangeable; rock drilling or earth boring tools, with working part (other than of cermets), whether or not power operated, including parts","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","5305694.386","true","91159.93","false","115782912.86699997","74060349.537","141940921.739","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","290519","Alcohols; saturated monohydric, n.e.c. in item no. 2905.1","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","139292988.80800003","true","851073","false",,"201200433.89100003","201200433.89100003","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","910310","Clocks; with watch movements, electrically operated, excluding clocks of heading no. 9104","6","true","-2","c00","0","-2","0","-1","n/a",,"false","-1","n/a",,"false","137837.017","true","159","false","1417592.1209999996","465708.86","1461506.1519999995","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","920110","Musical instruments; pianos, upright, including automatic pianos","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","2087482.8839999998","true","1.245","false","128.609","19238288.323","19238288.323","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","381512","Catalysts, supported; reaction initiators, reaction accelerators and catalytic preparations, with precious metal or precious metal compounds as the active substance, n.e.c. or included","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","7586769.711999998","true","1863","false","733995405.7750002","323491608.71800005","858787097.3730003","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","2810","Oxides of boron; boric acids","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","29236054.616","true","496523.011","false",,"27755767.517999995","27755767.517999995","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","640359","Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles and uppers of leather","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","2733811.1069999994","true","90452.576","false",,"409199764.689","409199764.689","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","2704","Coke and semi-coke; of coal, lignite or peat, whether or not agglomerated; retort carbon","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","1746410418.3000002","true","538090.688","false","685589471.1329999","189061589.50800002","717425628.7019999","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","960810","Pens; ball point","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","10914837.278999997","true","913418.74","false","166571150.921","83950869.669","182609741.362","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","2824","Lead oxides; red lead and orange lead","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","3416116.336","true","43.01","false",,"9040621.361","9040621.361","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","560749","Twine, cordage, ropes, cables; of polyethylene or polypropylene (excluding binder or baler twine), whether or not plaited, braided or rubber or plastic impregnated, coated, covered or sheathed","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","14209582.566","true","342877.37","false","46393373.419","17162022.655","49434011.817999996","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","380210","Carbon; activated","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","55148686.118","true","378457.06","false","129466165.556","40312958.852000006","144235201.89","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","280130","Fluorine; bromine","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","2512598.732000001","true","35.09","false","10394521.383000001","1419881.5389999999","11510992.748000002","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","2706","Tar distilled from coal, from lignite, peat and other mineral tars, whether or not dehydrated or partially distilled; including reconstituted tars","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","62773909.927","true","7145.38","false","20195286.292","25576266.066","30836977.685","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","280110","Chlorine","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","36717758.021","true","2885344.45","false","23852448.625","16913268.136000004","23856877.276","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","902131","Artificial parts of the body","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","1767390.41","true","13.614","false",,"1112519125.493","1112519125.493","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","2705","Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","142214.876","true","5","false","142927.146","1491.301","142927.146","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","300212","Blood, human or animal, antisera, other blood fractions and immunological products; antisera and other blood fractions","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","13107617.288000003","true","247978.956","false","0.106","3856555513.969001","3856555513.969001","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","730449","Steel, stainless; (excluding cold-drawn or cold-rolled), tubes pipes and hollow profiles of circular cross-section","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","7714844.021000001","true","0.345","false","47.199","95923481.02600001","95923481.02600001","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","293339","Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, n.e.c. in 2933.3","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","10230957.617","true","1000.019","false",,"556262345.6220001","556262345.6220001","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","2705","Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","81208.037","true","0","false",,"374020.82899999997","374020.82899999997","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","2818","Aluminium oxide (including artificial corundum); aluminium hydroxide","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","3009739415.691","true","1343687.64","false",,"1161504200.4650002","1161504200.4650002","0","false","true",
"C","M","20240101","2024","1","202401","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","2812","Halides and halide oxides of non-metals","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","8062007.251000002","true","577490.276","false","44621543.951000005","6881356.582000002","45015160.994","0","false","true",
