typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20220101","2022","1","202201","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","020712","Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species Gallus domesticus, (not cut in pieces), frozen","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","97520146.73200002","true","115831.04000000001","false","131412081.247","24695430.131","149517070.771","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","681091","Cement, concrete or artificial stone; prefabricated structural components for building or civil engineering, whether or not reinforced","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","782788907.715","true","2912374","false","198878567.89599994","16289944.489","202322602.19599995","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","854370","Electrical machines and apparatus; having individual functions, not specified or included elsewhere in this chapter, n.e.c. in heading no. 8543","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","47027095.491","true","23101.26","false","0","3336950473.788999","3336950473.788999","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","240290","Cigars, cigarillos and cheroots; containing tobacco substitutes including the weight of every band, wrapper or attachment thereto","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","375869.636","true","51","false","4827996.956999999","73842.13600000001","4831709.405999999","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","810110","Tungsten (wolfram); articles thereof, including waste and scrap, powders","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","1282850.453","true","3910.29","false","18177604.198","10013736.992","21085991.387999997","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","030319","Fish; Pacific salmon, other than sockeye salmon, (Oncorhynchus gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), frozen, (excluding fillets, livers, roes and other fish meat of heading no. 0304)","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","1796730.876","true","46018.6","false","4606901.761","265155.952","4606901.761","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","270900","Oils; petroleum oils and oils obtained from bituminous minerals, crude","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","110176798378.42401","true","1247832673.3","false","0","71160586482.895","71160586482.895","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","843149","Machinery; parts of machines handling earth, minerals or ores and n.e.c. in heading no. 8431","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","579885361.989","true","2482220.2800000003","false","0","2596454009.609","2596454009.609","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","070310","Vegetables, alliaceous; onions and shallots, fresh or chilled","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","597474610.6570002","true","3261334.8","false","0","295513957.07","295513957.07","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","970110","Paintings, drawings and pastels; executed entirely by hand, other than drawings of heading no. 4906","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","57907.657","true","1258.38","false","3740816.830000001","473206.35","4023429.4800000004","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","401120","Rubber; new pneumatic tyres, of a kind used on buses or lorries","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","737436773.1199999","true","92177","false","0","2232963206.69","2232963206.69","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","630221","Bed linen; of cotton, printed, not knitted or crocheted","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","22086046.326","true","227019.49","false","214027023.36600006","61828362.158","219676205.24500006","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","650610","Headgear; safety, whether or not lined or trimmed","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","14191896.011","true","11709.95","false","0","353166148.5799999","353166148.5799999","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","480257","Uncoated paper and paperboard (not 4801 or 4803); printing, writing or graphic, 10% or less by weight of mechanical or chemi-mechanical processed fibre, weight 40-150g/m2, n.e.c. in item no. 4802.55 or 4802.56","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","204879658.73899996","true","5128","false","0","243263054.98199996","243263054.98199996","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","210120","Extracts, essences and concentrates; of tea or mate, and preparations with a basis of these extracts, essences or concentrates or with a basis of tea or mate","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","12637705.270000001","true","816559.73","false","87342235.075","35216829.535","94378940.46499999","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","620462","Trousers, bib and brace overalls, breeches and shorts; women's or girls', of cotton (not knitted or crocheted)","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","76695315.287","true","22272.82","false","0","1649509130.7330005","1649509130.7330005","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","852872","Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus; incorporating a colour video display or screen","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","165979651.34899998","true","24603.49","false","0","4270735673.877001","4270735673.877001","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","640110","Footwear; waterproof with metal toe-cap, rubber or plastic outer soles and uppers (not assembled by stitch, rivet, nail, screw, plug or similar)","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","2340176.467","true","20994.24","false","0","18408729.481000002","18408729.481000002","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","660110","Umbrellas and sun umbrellas; garden or similar umbrellas","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","149472893.70100006","true","2798.98","false","0","224127837.458","224127837.458","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","382200","Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","1744877.5290000003","true","4091","false","0","57570600.229","57570600.229","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","854442","Insulated electric conductors; for a voltage not exceeding 1000 volts, fitted with connectors","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","166870613.089","true","3556132.96","false","0","3428341950.125","3428341950.125","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","170111","Sugars; cane sugar, raw, in solid form, not containing added flavouring or colouring matter","6","true","-2","c00","0","-2","0","-1","n/a",,"false","-1","n/a",,"false","52026.263","false","120","false","902526.571","255.937","902526.571","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","7601","Aluminium; unwrought","4","false","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","1781523049.3839998","true","143903392","false","0","5948431013.4419985","5948431013.4419985","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","020110","Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","34880250.136","true","2842.1","false","0","181693875.06899998","181693875.06899998","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","020130","Meat; of bovine animals, boneless cuts, fresh or chilled","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","185842824.41","true","15733940.15","false","0","1602548316.441","1602548316.441","0","false","true",
"C","M","20220101","2022","1","202201","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","380893","Herbicides, anti-sprouting products and plant-growth regulators; other than containing goods of Subheading Note 1 to this Chapter; put up in forms or packings for retail sale or as preparations or articles","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","179325973.859","true","4053826.26","false","1309500972.2779996","620237643.618","1438805818.9719996","0","false","true",
