typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","240110","Tobacco, (not stemmed or stripped)","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","18359191.222000003","true","2208092.8","false",,"139694812.194","139694812.194","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","830110","Padlocks; (key, combination or electrically operated), of base metal","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","10838347.925","true","257948.99","false","80274902.948","43477428.102","89675954.633","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","220110","Waters; mineral and aerated, including natural or artificial, (not containing added sugar or other sweetening matter nor flavoured)","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","393815444.152","true","6823142.1","false","190815543.05699995","66394969.50999999","198299990.6539999","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","040221","Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","202276035.45400006","true","130202525.78","false",,"804776178.1409999","804776178.1409999","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","840810","Engines; for marine propulsion, compression-ignition internal combustion piston engines (diesel or semi-diesel engines)","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","11510168.717","true","51256.07","false",,"237261568.58299994","237261568.58299994","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","210390","Sauces and preparations therefor; mixed condiments and mixed seasonings","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","328574706.2619999","true","4661893.64","false",,"1128160177.9300003","1128160177.9300003","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","030319","Fish; Pacific salmon, other than sockeye salmon, (Oncorhynchus gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), frozen, (excluding fillets, livers, roes and other fish meat of heading no. 0304)","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","1613417.772","true","90989","false","5418950.2650000015","284960.174","5418950.2650000015","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","291521","Acids; saturated acyclic monocarboxylic acids; acetic acid","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","237273668.171","true","0","false",,"171126637.92500004","171126637.92500004","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","840721","Engines; outboard motors for marine propulsion, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","9551593.433","true","3941","false",,"322410196.178","322410196.178","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","M","Import","-2","-2","0","-2","-2","0","GG","GG","true","240220","Cigarettes; containing tobacco","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","53911613.411","true","105736.84","false","1311523577.5440001","168914397.439","1326212471.736","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","280429","Gases, rare; other than argon","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","2371807.383","true","241","false",,"159507928.99100006","159507928.99100006","0","false","true",
"C","M","20230101","2023","1","202301","-2","-2","ALL","X","Export","-2","-2","0","-2","-2","0","GG","GG","true","381400","Solvents and thinners; organic composite solvents and thinners, n.e.c. or included, prepared paint or varnish removers","6","true","-2","c00","0","-2","0","-1","n/a",,"true","-1","n/a",,"false","59400395.768","true","111768.45","false",,"172330610.93200004","172330610.93200004","0","false","true",
